datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Solar,0,0.000,True
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Storage,0,0.000,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,Wind,4150,0.054,True
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Coal,9435,0.116,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Gas,31938,0.395,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Hydro,2134,0.026,True
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Nuclear,31353,0.388,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Oil,216,0.002,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Other Renewables,588,0.007,True
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Solar,0,0.000,True
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Storage,0,0.000,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,Wind,5049,0.062,True
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Coal,9749,0.113,False
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Gas,35175,0.410,False
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Hydro,3186,0.037,True
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Nuclear,31318,0.365,False
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Oil,217,0.002,False
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Other Renewables,589,0.006,True
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Solar,0,0.000,True
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Storage,0,0.000,False
