datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,ATSI,8469.405000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,BC,3505.405760
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,COMED,9832.287000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,DAYTON,2165.326000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,DEOK,3412.993160
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,DOM,15196.375000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,DPL,1985.095090
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,DUQ,1654.396610
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,EKPC,1641.392330
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,JC,2836.165000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,ME,1834.404660
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PE,4550.414000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PEP,3409.976810
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PJM MID ATLANTIC REGION,31878.283200
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PJM RTO,95885.335900
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PJM WESTERN REGION,47172.796900
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PL,4670.579000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PN,1959.729000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PS,5694.050290
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,RECO,189.891113
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,UG,114.290000
6/5/2025 3:10:00 AM,6/4/2025 11:10:00 PM,PJM SOUTHERN REGION,15196.375000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,AE,1237.475100
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,AEP,16027.308600
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,APS,5684.565000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,ATSI,8382.827000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,BC,3536.540000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,COMED,9904.809000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,DAYTON,2184.823240
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,DEOK,3416.182370
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,DOM,15287.691400
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,DPL,1995.002690
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,DUQ,1643.730350
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,EKPC,1653.061770
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,JC,3024.480000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,ME,1850.013180
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PE,4607.650390
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PEP,3445.448000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PJM MID ATLANTIC REGION,32224.314500
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PJM RTO,96409.310000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PJM WESTERN REGION,47252.812500
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PL,4723.805660
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PN,2023.071660
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PS,5741.539550
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,RECO,191.975250
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,UG,116.390000
6/5/2025 3:05:00 AM,6/4/2025 11:05:00 PM,PJM SOUTHERN REGION,15287.691400
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,AE,1252.079000
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,AEP,16184.622100
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,APS,5818.797000
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,ATSI,8462.048000
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,BC,3570.719730
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,COMED,9964.299000
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,DAYTON,2197.508300
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,DEOK,3451.671390
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,DOM,15376.261700
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,DPL,2021.734860
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,DUQ,1632.723880
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,EKPC,1664.639160
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,JC,2943.652830
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,ME,1878.943360
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,PE,4651.989000
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,PEP,3464.221680
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,PJM MID ATLANTIC REGION,32455.738300
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,PJM RTO,97208.310000
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,PJM WESTERN REGION,47708.796900
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,PL,4762.361330
